PERIOD_BEGIN,REGION_TYPE,PROPERTY_TYPE,MEDIAN_SALE_PRICE,MONTHS_OF_SUPPLY,MEDIAN_DOM,PRICE_DROPS,HOMES_SOLD
1/1/2018,national,All Residential,274798.8783,2.939052988,42.6575953,0.116726303,527479.4367
2/1/2018,national,All Residential,278247.7964,3.033831872,41.92592189,0.124425492,522013.0018
3/1/2018,national,All Residential,277607.4457,2.920302646,41.65647488,0.128057073,531571.1529
4/1/2018,national,All Residential,278484.0566,2.879702686,40.76480224,0.13193454,535559.0223
5/1/2018,national,All Residential,278541.5956,2.896856326,40.98895705,0.134857289,530996.4427
6/1/2018,national,All Residential,279195.9815,2.900009747,40.70516273,0.137091013,529984.2165
7/1/2018,national,All Residential,279407.8224,2.887677905,41.18322897,0.140150259,530448.3922
8/1/2018,national,All Residential,279172.0919,3.007300794,42.42018643,0.141400231,520435.7706
9/1/2018,national,All Residential,278953.0141,3.109865153,43.01965517,0.145492724,513344.3457
10/1/2018,national,All Residential,279624.4044,3.201905818,44.19002939,0.152618424,508823.4074
11/1/2018,national,All Residential,281118.1073,3.219829124,44.89599363,0.143825718,508782.09
12/1/2018,national,All Residential,280992.6632,3.386509605,44.93371525,0.136160408,497765.3973
1/1/2019,national,All Residential,282944.3042,3.49702789,45.57293265,0.147444199,493867.211
2/1/2019,national,All Residential,283883.4813,3.349905855,46.16477069,0.144907318,515646.2419
3/1/2019,national,All Residential,283970.9571,3.279417509,46.59047242,0.147131956,524297.2998
4/1/2019,national,All Residential,285136.6364,3.176500283,46.88767475,0.149857303,528758.2914
5/1/2019,national,All Residential,288972.7849,3.073072484,46.3768528,0.149734073,538068.6066
6/1/2019,national,All Residential,289844.5756,3.005278578,46.85250569,0.149239514,535672.8477
7/1/2019,national,All Residential,292166.64,2.929543332,47.00691232,0.143119756,535673.9522
8/1/2019,national,All Residential,292321.6157,2.880295852,46.46773233,0.142857771,537994.603
9/1/2019,national,All Residential,292821.5916,2.948179904,46.05852106,0.182767141,528966.8293
10/1/2019,national,All Residential,294793.4117,2.921589239,45.53591624,0.140526614,526252.6278
11/1/2019,national,All Residential,295705.5241,2.875961673,44.54575778,0.128209357,532257.9017
12/1/2019,national,All Residential,299574.8755,2.783974863,44.48687539,0.131303143,550317.6304
1/1/2020,national,All Residential,300566.0454,2.826801479,43.79837254,0.133447051,545919.8901
2/1/2020,national,All Residential,301990.7366,2.569396409,43.26413589,0.130916981,554670.5292
3/1/2020,national,All Residential,302210.5442,2.908930884,41.49413039,0.128376116,533549.0238
4/1/2020,national,All Residential,298694.7036,3.276105468,40.5715882,0.12034995,429799.417
5/1/2020,national,All Residential,290684.6977,3.422599767,47.38478884,0.124040099,385245.7292
6/1/2020,national,All Residential,298799.4926,2.525583514,50.60082383,0.108486822,471756.4254
7/1/2020,national,All Residential,316761.8025,1.886937025,44.45810673,0.096938312,592031.7991
8/1/2020,national,All Residential,324716.3441,1.777057484,38.14765157,0.102364071,613672.8086
9/1/2020,national,All Residential,331837.9851,1.654448527,33.03603066,0.090690189,637754.7441
10/1/2020,national,All Residential,335556.1489,1.574491307,29.51480145,0.092024105,659108.93
11/1/2020,national,All Residential,337726.8436,1.553312855,27.95906572,0.110658674,655151.426
12/1/2020,national,All Residential,340205.1396,1.486079866,27.32300362,0.112422129,657673.3314
1/1/2021,national,All Residential,345678.694,1.40493954,26.69849648,0.098150853,666977.8742
2/1/2021,national,All Residential,347191.8109,1.450282336,25.91496826,0.092966923,590642.8743
3/1/2021,national,All Residential,352558.8697,1.40497189,24.17402204,0.091684937,591691.9524
4/1/2021,national,All Residential,361138.772,1.404643681,22.373833,0.086842833,589545.7702
5/1/2021,national,All Residential,364538.223,1.375560544,21.02989662,0.081260521,585006.6963
6/1/2021,national,All Residential,371339.6578,1.403876904,20.3152015,0.081412292,591936.7113
7/1/2021,national,All Residential,377099.4891,1.492624279,19.96024847,0.090086054,595214.8362
8/1/2021,national,All Residential,377706.3424,1.52025583,20.49307032,0.093408198,593895.3621
9/1/2021,national,All Residential,379095.4557,1.444618121,21.15521563,0.096258154,613035.6276
10/1/2021,national,All Residential,383423.2891,1.399792618,21.86804572,0.088223672,617956.4967
11/1/2021,national,All Residential,390160.9048,1.285028995,21.92178927,0.08539961,635815.4094
12/1/2021,national,All Residential,393062.9909,1.255131826,21.30730956,0.104475874,611772.4268
1/1/2022,national,All Residential,394951.4433,1.158064824,20.98541629,0.083616953,653417.4448
2/1/2022,national,All Residential,401969.205,1.345823035,20.04727117,0.087838145,558983.4377
3/1/2022,national,All Residential,410621.6832,1.438496918,19.78333412,0.089186072,550974.0525
4/1/2022,national,All Residential,414430.3559,1.57438773,20.46172917,0.101883599,541801.5343
5/1/2022,national,All Residential,415181.1583,1.76991223,22.40362669,0.117609506,525561.5156
6/1/2022,national,All Residential,410305.2656,2.090120772,24.44253105,0.147543439,506988.7764
7/1/2022,national,All Residential,404764.6233,2.355037051,27.34963053,0.16661378,485125.9498
8/1/2022,national,All Residential,403637.6527,2.387045399,30.85345521,0.166497128,479472.5265
9/1/2022,national,All Residential,406459.8713,2.407818477,34.3628495,0.172274941,470959.6063
10/1/2022,national,All Residential,401610.9701,2.516762962,35.7581422,0.181478332,457582.7206
11/1/2022,national,All Residential,399875.1638,2.751458599,36.44479749,0.175605396,425154.3508
12/1/2022,national,All Residential,399425.9772,2.812750506,37.76230131,0.170069588,416661.7634
1/1/2023,national,All Residential,400510.3815,2.726790674,39.12775072,0.175249864,421574.2259
2/1/2023,national,All Residential,399296.4611,2.418117884,40.59684195,0.160086129,436525.5653
3/1/2023,national,All Residential,400697.0021,2.378161385,41.40923107,0.156252429,434638.6235
4/1/2023,national,All Residential,399985.0289,2.286094499,41.5500753,0.145679943,428349.1893
5/1/2023,national,All Residential,404577.054,2.269179497,40.03804735,0.139687642,424467.8579
6/1/2023,national,All Residential,407801.0709,2.275279841,38.3720394,0.134844114,419634.498
7/1/2023,national,All Residential,412131.8439,2.258430528,36.89259634,0.133531712,422332.9644
8/1/2023,national,All Residential,416013.6708,2.32604842,35.44185525,0.142993849,421524.9634
9/1/2023,national,All Residential,412930.7759,2.442558403,34.79736138,0.1481454,416661.2618
10/1/2023,national,All Residential,414922.5743,2.630975712,35.03863135,0.158397601,405385.1601
11/1/2023,national,All Residential,414101.9152,2.760254517,35.75240883,0.172579095,404610.2531
12/1/2023,national,All Residential,413138.3766,2.855382003,37.12635888,0.166694958,401800.4605
1/1/2024,national,All Residential,419710.8548,2.762273771,37.67118346,0.159417426,420356.9474
2/1/2024,national,All Residential,423172.9899,2.504550727,37.94954262,0.164978319,428044.7219
3/1/2024,national,All Residential,422025.0086,2.766820935,38.56877232,0.167526174,424993.8556
4/1/2024,national,All Residential,425418.0316,2.779126393,39.41170011,0.173475217,426816.1807
5/1/2024,national,All Residential,425773.1919,2.885356942,40.05865427,0.172676591,421481.3634
6/1/2024,national,All Residential,426426.8839,2.969247245,41.66942026,0.168660542,417294.6544
7/1/2024,national,All Residential,430074.7197,2.933379912,42.69523454,0.1660344,420008.4126
8/1/2024,national,All Residential,429956.6053,3.001324413,42.86064699,0.159354867,415454.2965
9/1/2024,national,All Residential,429691.9487,3.100382293,42.17714064,0.159130823,413609.9837
10/1/2024,national,All Residential,433856.9833,3.061128095,42.08602666,0.153602088,422394.6336
11/1/2024,national,All Residential,434020.8393,3.069890001,42.33226174,0.154616466,432006.0936
12/1/2024,national,All Residential,435539.6415,3.103944578,42.52377504,0.16366234,438654.0978
1/1/2025,national,All Residential,435122.2788,3.292966075,43.05592189,0.178324468,428925.8165
2/1/2025,national,All Residential,435168.2104,3.300530955,43.55619198,0.189411624,425317.9984
3/1/2025,national,All Residential,433486.2045,3.436488514,44.42918365,0.19751514,423248.9733
4/1/2025,national,All Residential,432050.0617,3.518067438,45.51715736,0.202772634,419032.8752
5/1/2025,national,All Residential,430391.1708,3.492693461,47.40740739,0.207375128,417593.64
6/1/2025,national,All Residential,432302.4596,3.316556616,49.23447408,0.211021083,411841.3278